C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_02_446.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_02_446.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_02_446.jpg, 0, 0, 0, 7.818595E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_02_551.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_02_551.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_02_551.jpg, 0, 0, 0, 7.829905E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_02_655.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_02_655.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_02_655.jpg, 0, 0, 0, 7.90349E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_02_757.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_02_757.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_02_757.jpg, 0, 0, 0, 7.7927E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_02_861.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_02_861.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_02_861.jpg, 0, 0, 0, 7.780168E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_02_964.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_02_964.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_02_964.jpg, 0, 0, 0, 7.836107E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_065.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_065.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_065.jpg, 0, 0, 0, 7.817116E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_169.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_169.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_169.jpg, 0, 0, 0, 7.863764E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_274.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_274.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_274.jpg, 0, 0, 0, 7.834231E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_374.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_374.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_374.jpg, 0, 0, 0, 7.790028E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_477.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_477.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_477.jpg, 0, 0, 0, 7.788822E-05
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_582.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_582.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_582.jpg, 0, 0.3151827, 0, 0.2763233
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_683.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_683.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_683.jpg, 0, 0.6003987, 0, 0.7447152
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_787.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_787.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_787.jpg, -0.1570956, 0.9003879, 0, 1.676798
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_889.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_889.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_889.jpg, -0.303069, 1, 0, 2.721943
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_03_994.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_03_994.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_03_994.jpg, -0.003197739, 1, 0, 3.873061
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_04_095.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_04_095.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_04_095.jpg, 0, 1, 0, 5.040271
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_04_228.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_04_228.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_04_228.jpg, -0.3929712, 1, 0, 6.595204
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_04_329.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_04_329.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_04_329.jpg, -0.4353216, 1, 0, 7.707728
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_04_434.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_04_434.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_04_434.jpg, -0.1363749, 1, 0, 8.835166
C:\Users\varun\Desktop\Data\IMG\center_2020_11_19_13_07_04_535.jpg, C:\Users\varun\Desktop\Data\IMG\left_2020_11_19_13_07_04_535.jpg, C:\Users\varun\Desktop\Data\IMG\right_2020_11_19_13_07_04_535.jpg, 0, 1, 0, 9.94407
